,definition,downvotes,mnemonics,upvotes,word
3733,"['(noun) a difficult problem', '(noun) a coarse sieve (as for gravel)', '                (verb) pierce with many holes', '(verb) set a difficult problem or riddle', '(verb) separate with a riddle, as grain from chaff', '(verb) spread or diffuse through', '(verb) speak in riddles', '                (verb) explain a riddle']","['5', '0', '3', '3', '2']","[""If we remember Harry Potter and Chamber of Secrets... Harry destroys Tom RIDDLE's diary by PIERCING it."", 'SIMPLEEEEEEEE...riddle like needle..so piercing..!!', '=re+ddle sounds like re-drill.. a drill makes holes', 'A riddle keeps riddling our mind until we know the answer.', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    riddle secondry meaning is DIFFICULT TO UNDERSTAND..well batman's enemy THE RIDDLER schemes were DIFFICULT TO UNDERSTAND for batman""]","['25', '15', '9', '0', '0']",riddle
3734,"['(noun) a traveler who actively rides an animal (as a horse or camel)', '                (noun) a clause that is appended to a legislative bill', '                (noun) a traveler who actively rides a vehicle (as a bicycle or motorcycle)', '                (noun) a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it']","['1', '4', '11', '8']","['a recent RIDER to the motorcyclist riders act of India is the Helmet Rule is compulsory.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    How to get rid of error=riders(amendmants to a bill)', 'If a bill has a lot of loop-holes, it must be either removed or it needs another ""rider"" to go forward.', 'a person that rides (bicycle, horse, car etc) lol']","['25', '5', '0', '0']",rider
3735,"['(adj) most frequent or common', '(adj) excessively abundant']","['14', '7', '5', '3', '6', '3', '2', '1', '0', '0', '13', '1', '1', '0']","['rife is like wife...which is common one hence ABUNDANT and PLENTIFUL.', 'rife==> rifle which has abundant\r\nbullets', 'rife can be taken as rifle which needs abundant courage to handle it.', 'Powered by\n                    Mnemonic Dictionary', ""rife~ interchange the position of 'e' n 'i'. refi = mohammad rafi(gr8 musician) has a WIDESPREAD popularity here, with ABUNDANT fan following and the CURRENT generation loves him too!"", 'Life: Life is abundant in the universe.', 'when two friends are in a RIFT, they don\'t talk. when they are in a RIFE... there is ""abundance"" of talk', ""Repeated Wife.U don't need repeated wife hence abundant"", 'sounds like rice..which is in abundance in every part of the world.', 'having rife(exessively abundant) wives is illegal', 'rife is close to strife. We see wide-spread strifes currently.', 'In Lalu land, rifle use was rife, causing great strife to people.', 'rife:  w(r)ife have abundant things to tell their husbands', 'rife = abundant\r\nwife = wrong rife(not abudant) :D']","['35', '27', '7', '4', '3', '2', '2', '2', '1', '1', '0', '0', '0', '0']",rife
3736,"['(noun) a gap between cloud masses', '(noun) a narrow fissure in rock', '                (noun) a personal or social separation (as between opposing factions)']","['7', '2', '1', '2', '0', '0', '0', '1']","['rhyme is drift(a sound force which drives something along)..a drifted water caused many breaks in the wall.', 'sounds like cleft; which means split', 'riffle create openings', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    rift sounds like 'lift'. if there is a 'GAP' between two objects, you get better grip to 'lift' the object."", 'lift doors will rift apart for opening...', 'There is a RIFT in the LIFT!', 'The song frm d mvie namaste london (RAFTA RAFTA) is during their sepration... i.e. social n personal sepration.', 'rift rhymes cleft means split or divided so thts it']","['6', '3', '2', '1', '1', '1', '1', '0']",rift
3737,"['(noun) gear (including necessary machinery) for a particular enterprise', '                (noun) a truck consisting of a tractor and trailer together', '(noun) formation of masts, spars, sails, etc., on a vessel', '(noun) a set of clothing (with accessories)', '(noun) gear used in fishing', '(noun) a vehicle with wheels drawn by one or more horses', '(noun) the act of swindling by some fraudulent scheme', '(verb) arrange the outcome of by means of deceit', '(verb) manipulate in a fraudulent manner', '(verb) connect or secure to', '(verb) equip with sails or masts']","['4', '3', '2', '1']","['like rigid = fixed \r\n\r\nso rig = fix', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    rig~wig ; so that sails doesn't fly away rigs are used, and so that the wig doesn't fly away we shud have something like rig to fix the wig in the head!"", '', 'rig verb-fix or manipulate\r\n \r\nlike a wig has to be fixed u can remember rig']","['20', '2', '2', '0']",rig
3738,"['(adj) characterized by or proceeding from accepted standards of morality or justice', '(adj) morally justified']",[],[],[],righteous
3739,"['(adj) legally valid', '(adj) having a legally established claim']",[],[],[],rightful
3740,"['(adj) incapable of or resistant to bending', '(adj) incapable of compromise or flexibility', '(adj) incapable of adapting or changing to meet circumstances', '(adj) designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure', '                (adj) fixed and unmoving']",[],[],[],rigid
3741,"['(noun) something hard to endure', '(noun) the quality of being valid and rigorous', '(noun) excessive sternness']","['19', '1', '5']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    rigor can be opposite of vigor(which is physically enthusiastic).', 'RIGOR AS IN HINDI ...U R WASHING CLOTHES RAGAR RAGAR KARKE...RIGOR(SEVERITY OF WORK)', 'Rigor is something to severity as in vigor is something to strenght...plz se them as analogies RIGOR::VIGOR..may be yu cud remember this way!!']","['7', '6', '2']",rigor
3742,"['(verb) cause annoyance in; disturb, especially by minor irritations', '(verb) make turbid by stirring up the sediments of']","['8', '2', '0', '0', '0', '5', '1', '1', '0']","['rile(rail)...we all travel by railways imagine you are on a trip to kodaikanal in a train and you find your co passenger who is all the time ANNOYING you.....', 'If someone RAILs u (criticize severely) u r gonna be RILED(irrtated & annoyed)', 'rail-scold bitterly.<br>\r\nrile-irritate<br>\r\nNow imagine ure the station master and the train is late, you will be railed by the customers. All the railing will eventually Rile you. (Rail comes before Rile, scolded 1st irrtatd latr', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    rile: at raat(hindi) that is night mosquitoes buzzing in my ear riles me.', 'Trains(Rail) are always late.Hence u get vexed standing on the platform.', 'Rile=some people ""fail"" and they commit suicude under ""rail"".cos of irritation.', 'in rail its too disturbing in the night to sleep as the coach willl be always reverberating', 'sounds like rifle, which is very loud and annoying.', 'vile looking stuffs RIL-E (read as ""really"") irk me']","['20', '9', '2', '1', '1', '0', '0', '0', '0']",rile
3743,"['(noun) a dissolute man in fashionable society', '(noun) an opening made forcibly as by pulling apart', '(noun) a stretch of turbulent water in a river or the sea caused by one current flowing into or across another current', '(noun) the act of rending or ripping or splitting something', '(verb) tear or be torn violently', '(verb) move precipitously or violently', '(verb) cut (wood) along the grain', '                (verb) criticize or abuse strongly and violently']","['0', '0', '1']","['rip:call it ripe.now consider that the mango is rake bcoz it is extra RIPEn', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    RIP => Rest In Peace => Tear or be torn quickly', 'movies piracee chesi tc rip lo vasthayi so producers edustharu so']","['3', '2', '0']",rip
3744,"['(noun) ornament consisting of a circular rounded protuberance (as on a vault or shield or belt)', '(noun) heavy pin having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together', ""                (verb) direct one's attention on something"", '(verb) fasten with a rivet or rivets', ""                (verb) hold (someone's attention)""]","['0', '1']","['ri+vet--- re-wet—a girl re wet herself in order to attract someone', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    RIVET = RIVER + WET =the wet girl in the river really FASCINATES me....']","['6', '2']",rivet
3745,['(adj) capable of arousing and holding the attention'],"['3', '3', '6', '2', '2', '2', '3', '1']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ii was aroused and riveted by the WET girl in the RIVER', 'river+wetting..so absorb', 'river should come to your mind,which is water,it can be absorbed.', ""plumber's often use rivet in water pipe fittings to eliminate the chance of any water leakage. rivet help in fixing two ends of pipe in such a manner that outlet of one pipe get deeply absorbed into inlet mouth of receiving pipe"", 'RIVEr + bathING .. I was riveted by a girl bathing in river', 'rivet -  ri + whet  - like in ""whet your appetite""', 'u sink in river meaning yu are absorbed by river....(and moreover yu cant swim..lol)', 'river + wetting>> i was aroused and engrossed in watching when a wet girl came out of the river..']","['16', '9', '2', '2', '1', '1', '0', '0']",riveting
3746,['(noun) a small stream'],"['1', '0', '0']","['river at outlet i.e small stream', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    -let actually means small\r\n- rivulet = small river\r\n- booklet = small book\r\npiglet = small pig\r\n- cigarette = small cigar\r\n- islet = small island\r\netc.', 'rivulet = river + inlet; river inlet always flows water.']","['27', '9', '1']",rivulet
3747,"['(adj) sturdy and strong in form, constitution, or construction', '(adj) marked by richness and fullness of flavor', '(adj) strong enough to withstand or overcome intellectual challenges or adversity', '(adj) rough and crude']","['0', '2']","['like a robot  >>sturdy & strong\r\nPOWERFUL, MUSCULAR, VIGOROUS', 'bust of a gal is strong..its soft actually but think opp guys..!!...no personal offense..the more vulgar the better yu grasp..!!...my way !! :)']","['6', '5']",robust
3748,"['(noun) fanciful but graceful asymmetric ornamentation in art and architecture that originated in France in the 18th century', '                (adj) having excessive asymmetrical ornamentation']","['3', '1', '2']","['ro(w)+coco- you arrange  and decorate  coconuts in a row.', 'rococo reminds me of Hawaiian ladies with their coconut decoration around the waist and sometimes the neck.', '...Remember the higly ornate coco bongo club in the \r\nmask movie n cartoons that everyone wishes to go to????!!!']","['28', '4', '1']",rococo
3749,"['(verb) be agitated', '(verb) make turbid by stirring up the sediments of']","['5', '1', '0', '0', '4']","['ROIL ~ SOIL = muddy', 'Stir the Oil with Rock.i.e make it murky', 'Fire in oil company  roiled(agitated) the situation', 'The ROYAL knights are always making war, causing terrible disturbances.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    roil = r + oil..consider only the oil part..imagine there is oil in the glass of water which u were going to drink..Sb has added oil kind of thing in ur water to make it turbid']","['12', '5', '1', '1', '0']",roil
3750,"['(noun) a deep prolonged sound (as of thunder or large bells)', '(noun) the act of robbing a helpless person', '(noun) propelling something on wheels', '(adj) uttered with a trill']",[],[],[],rolling
3751,"['(noun) an easy victory', '(noun) a girl who behaves in a boyish manner', '(noun) gay or light-hearted recreational activity for diversion or amusement', '(verb) play boisterously', '(verb) run easily and fairly fast', '                (verb) win easily']","['2', '2', '2', '0']","['It\'s tough to access disk. You can play with ""ROM"" as you like it :)', 'remember daddy yankee song rompe', 'Romp;change R to G & P to B:Gomb means gambol', 'romp : romp pom pupumpum .. (imagine this string playing boisterously) :D']","['4', '1', '1', '0']",romp
3752,['(noun) adult male chicken'],"['0', '0']","['it sounds like roasted.Due to their big size male chickens r roasted while female r cooked', 'Male chicken gives ""rose"" to female chicken :)']","['3', '1']",rooster
3753,['(adj) of something having a dusty purplish pink color'],"['0', '2', '7', '8', '0']","['', 'Roj came and ate his brain by same saying good thoughts....he is here optimistic person wid some idealistic thoughts', 'roseate=rose+ate\r\nobviously rose is bright and also it is cheerful', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    roseate=rose+speculate', 'You should be optimistic you give a ROSE.']","['6', '2', '0', '0', '0']",roseate
3754,['(noun) a list of names'],"['2', '15', '2', '3']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    list of roast in hotel-onion roast,ghee roast,masal roast etc', ""It's a mix of: <br>\r\n\r\nro(ll) + (li)st + (regist)er"", 'sounds like REGISTER which contains a LIST', 'ROWS in a THEATER.. List of ROWS A1-20 B1-20... etc']","['13', '12', '4', '4']",roster
3755,"['(noun) a platform raised above the surrounding level to give prominence to the person on it', '(noun) beaklike projection of the anterior part of the head of certain insects such as e.g. weevils']","['2', '8', '2', '2']","[""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ROJ(daily)+DRUM- on school's PULPIT/raised platform, roj drum bajaya jaata hai"", 'one who drinks rum (with roast) will need give speech and hence needs a platform :)', 'rostrum can be made to sound like ""raised + strum or system""', '']","['20', '7', '1', '1']",rostrum
3756,['(noun) memorization by repetition'],"['3', '1', '1', '1', '0', '1', '1', '0']","['ROT = read over thoroughly.', 'wrote and wrote and wROTE and wROTE again till you were too tired so you could only manage to write ROTE(w was too hard after REPEATING it so much)', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    child was rote hue  (crying ) repeating for candy\r\n\r\njust link with Hindi  word rote', 'rote = ratta marna', ""cómon guys haven't you heard of ratta?"", 'wROTE 100 times ( repetition)', 'road...', 'Rote similar to ""Ratta"" marna in hindi']","['23', '9', '6', '6', '1', '1', '0', '0']",rote
3757,"['(adj) spherical in shape', '                (adj) (of sounds) full and rich', '(adj) excessively fat']","['3', '2', '3', '0']","['remove the ""t"" in the word.', 'If you eat ROTi & UNDa(egg) routinely, you become  rotund.', 'Rotund- It seems similar to ""TONDU"" (in hindi a fat person)...thus rotund is a fat person..', 'Rotund seems like roto, which is rounded part that rotates in machines']","['38', '18', '2', '0']",rotund
3758,"['(noun) a building having a circular plan and a dome', '                (noun) a large circular room']","['0', '0', '0', '0', '0']","['RotUNDA, unda in hindi means egg, which is round.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    rotunda = round architecture', 'tundra region me logo ke ""round shaped ghar"" hote hain....', 'Rotunda::Golkunda', 'ROTU+NDA:::\r\nROTI AUR ANDA.....Which is circular....']","['14', '4', '2', '2', '2']",rotunda
3759,"['(noun) the roundness of a 3-dimensional object', '(noun) the fullness of a tone of voice']","['1', '1', '0', '5']","['rotund = round', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    sounds lile ROTI in hindi and is usually round in shape', 'a girl who is ROnTU will have soreness in speech', 'INFERNAL= smthing that is inferior like hell\r\n\r\nINFERiorAL']","['12', '1', '1', '0']",rotundity
3760,"['(noun) the act of arousing', '(adj) capable of arousing enthusiasm or excitement', '(adj) rousing to activity or heightened action as by spurring or goading']","['0', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    arousing ... lively or stirring up the crowd', 'act of RISING that means stimulating', '']","['5', '1', '0']",rousing
3761,"['(noun) a disorderly crowd of people', '(noun) an overwhelming defeat', '                (verb) cause to flee', '(verb) dig with the snout', '(verb) make a groove in', '(verb) defeat disastrously']","['3', '1', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    All batsmen are out. Team faces ""rout"".', 'As in "" during Riots stampede take place. hence Rout happens during Riots""', 'rout=ruled+out']","['33', '6', '0']",rout
3762,['(noun) the remains of something that has been destroyed or broken up'],"['1', '4', '5', '0', '0']","['when u use rubber, rubble fall down', 'Remember Flinstones cartoon...Flintstones friend Barney Rubble ..he used to wear all clothes in fragmeants...lol', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    If you rub a rickety wall, you will see the rubble.', 'Sound like rubber(eraser) when rub any thing with rubber,rubber will fall into small rubble', 'rumble makes fragments']","['14', '6', '3', '0', '0']",rubble
3763,"['(noun) an authoritative rule of conduct or procedure', '                (noun) an explanation or definition of an obscure word in a text', '(noun) directions for the conduct of Christian church services (often printed in red in a prayer book)', '                (noun) a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with', '(noun) a title or heading that is printed in red or in a special type', '                (noun) category name', '(verb) adorn with ruby red color']","['12', '26', '3', '0', '15', '5', '4']","['ruBRICk..so BRICKS are usually in red in color and and every brick has a company name on it(title) on it..', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Rubric means Instructional books/cassettes on how to perform ""pooja/religious ceremony"". \r\nExample - For Ganesh Puja there are lots of such cassettes available in Market.', 'WHEN TEACHER rites in RED in ur copy u use ink RUBBER which is big as a BRICK', ""Before you could enter the court, the RULER demanded that you contribute a BRICK toward the construction of the new castle. This brick was called the RULER'S BRICK or for short the RU-BRICK."", 'rubric=religious fabric .', 'rub(ber) rakh k directions padho before starting the paper', 'rubric means authoritative procedure or conduct of something.So, just remember rubric can be made to match with lubric;a lubricant is an authoritative procedure or conduct in usage for a bike!']","['18', '2', '2', '1', '0', '0', '0']",rubric
3764,"['(adj) inclined to a healthy reddish color often associated with outdoor life', '(adj) of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies']","['3', '0', '4', '0', '1']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ruddy = reddy (red coloured )', 'remember samera reddy she is very healthy', 'reddy...like indrasena reddy..The mega star...he is so healthy!', 'your buddy makes you feel happy. If you are happy, your cheeks will be ruddy.', 'bloody']","['12', '2', '1', '0', '0']",ruddy
3765,"['(adj) being or involving basic facts or principles', '(adj) being in the earliest stages of development', '(adj) not fully developed in mature animals']","['0', '7', '1', '2', '6', '0']","['sedimentary=rudimentary.....sedimentary rock are used in the base or foundation of a building...hence rudimentary means basic or fundamental  !!!!!!!', 'kids in elementry schools are rudimentary', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    CRUDE-i-mentary. somethin rudimentary is crude and elementary', 'sound like RUDE+MEN so rude men never developed becoz they are lacking of elementary or fundamental principals.....hope it helps...', 'rudimentary=crude+fundamental.', 'rudimentary(rude+mentaring):there is a person who was always rude and people had dislike towards him, after i had started mentoring him,has improved,so now he is in his INITIAL DEVELOPMENTAL STAGE of learning,behaving with manners']","['17', '10', '5', '4', '2', '2']",rudimentary
3766,"['(noun) European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy', '(noun) leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy', '                (noun) sadness associated with some wrong done or some disappointment', '(noun) (French) a street or road in France', '                (verb) feel remorse for; feel sorry for; be contrite about']","['4', '11', '4', '10', '2', '1', '0']","['rue sounds similar to ruin...when you ruin your life you LAMENT and REGRET  it', 'sounds like ro(weep)...so mourn', 'Think RUEdolf. ""All of the other reindeer used to laugh and call him names."" All the other reindeer RUEd when ""Santa came to say, RUEdolf with your nose so bright, won\'t you guide my sleigh tonight.""', 'Ruebaroooooooooooooooooooooooooooooooooooooooooooooooooooo......are yu CRYING or singing?', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ROOH(soul)...when we think of soul, we think of death...hence when someone dies, we repent, feel the consequences of it bitterly....', 'rue:- rue sounds like rude.. so when someone behaves rudely, u will be sorrow', 'when company sue you, you regret over your deeds']","['36', '9', '4', '3', '3', '3', '2']",rue
3767,['(noun) a cruel and brutal fellow'],"['2', '1']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Sounds like ""rough""-ian. i.e., a rowdy person.', 'layschips were formerly known as ruffles.RUFFIAN sounds like ruffles.they bullied me to get ruffles as no one can eat just 1.']","['27', '1']",ruffian
3768,"['(noun) a loud low dull continuous noise', ""(noun) a servant's seat (or luggage compartment) in the rear of a carriage"", '                (noun) a fight between rival gangs of adolescents', '(verb) make a low noise', '(verb) to utter or emit low dull rumbling sounds']","['0', '0', '0', '0']","['is very similar to ""mumble"" and ""grumble"".', 'relate to Royal Rumble in WWE', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    when things CRUMBLE we hear RUMBLE(sound).', 'just like tumble']","['8', '1', '0', '0']",rumble
3769,"['(noun) any of various cud-chewing hoofed mammals having a stomach divided into four (occasionally three) compartments', '                (adj) related to or characteristic of animals of the suborder Ruminantia or any other animal that chews a cud']",['0'],['R"ummmm"inate: ummmm ummm ummm + ate : chew over and over'],['3'],ruminant
3770,"['(verb) chew the cuds', '(verb) reflect deeply on a subject']","['12', '5', '3', '6', '5', '1', '4', '2', '6', '1']","['if in ROOMS of hostel there is interNET, we will start to think(mull over)', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Roaming-at:means ur mind is roaming.\r\nruminate = roam-in-it. ""I just had a wonderful party, but I dont want my mind to roam-in-it for too long,  for i have to study for GRE""', 'my RUMmy ATE my food, u gotta think over what you can do', 'split it as RUM+I+ATE...si i ate rum and kept PONDERING and BROODING about it', 'Ruminate and Meditate rhyme.....', ""RUM+i+ate- so after drinking lots rum and eating most ppl start to ruminate abt there X-gf/bf's"", 'rum+in+ate—when we sin IN RUM(room) alone, we think deeply', 'rum i ate: u drank rum and ate toasted octopus (which u have to chew over and over again ^^)', 'sounds like masticate which means chewing', '# विचार करना\r\n# ज�\x81गाली करना']","['5', '5', '5', '4', '2', '2', '1', '1', '0', '0']",ruminate
3771,"['(noun) a jumble of things to be given away', '                (noun) a thorough search for something (often causing disorder or confusion)', '(verb) search haphazardly']","['1', '6', '6', '1', '0', '6', '1', '0']","['if yu drink RUM at small age then definetlty yu loose yur way to home and yu have to  SEARCH SEARCH SEARCH now', 'RUMMAGE rhymes with PILLAGE meaning PLUNDERING and RANSACK', 'rum+mage.......after driniking RUM....ramiz ransaked the maize field', 'In a MAZE U have to Repeatedly thoroughly search for the exit.', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    The drunkard's last bottle of RUM fell in the GARBAGE, so he rummaged through the garbage to find his bottle. :D"", 'rum+mage.......after driniking RUM....ramiz ransaked the maize field', 'its like a police rading some underAGE kids, for rum', 'rummage: Rum+Mate\r\nwhen a guy want to drink rum, he first needs to find a mate, or someone to drinks with him.']","['33', '7', '4', '3', '2', '1', '0', '0']",rummage
3772,"['(adj) worn and broken down by hard use', '(adj) having the spring unwound']",['0'],['when your buisness RUN in a very bad or DOWN CONDITION....your buisness in bad condition...'],['2'],run-down
3773,['(adj) relating to or consisting of runes'],"['6', '2', '13', '3', '1', '1', '2', '2']","['in Lab yu have RUINED the IC(integrated chip)..now teachers asks who did this and all keep mysterious faces..hahaha', 'Run in Munich.U will run in Munich since it is mysterious to u', '""rune"" means old alphabet. ""prune"" means cut off.\r\n<br>\r\nRune letters are pruned from alphabet.', ""RUIN-IC.. Imagine going through newly discovered ruins of a civilization, it'll be enchanting and mysterious at the same time."", ""think of rubik's cube..originally called magic cube..its a puzzle ,mystery-like..not easy ,perplexing ,magical"", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Old RUINS have RUNIC inscriptions on them...', 'runic=mystic(rhyming) just remember that way', 'pertaining to runes..(heard of them in games?)']","['11', '9', '8', '7', '4', '1', '0', '0']",runic
3774,['(noun) a deceptive maneuver (especially to avoid capture)'],"['4', '9', '7', '4', '1', '0', '2', '1']","['ruse: re+ use, in a shop the shopkeeper reused the old goods, which is deceptive', 'His ruse made the opponents lose the match.', ""(Tag: hindi) subterfuge: 'sub taraf fuse', if you see electrial fuses everywhere its certainly a misrepresentation, and not the true nature of connections---subterfuge.\r\nr u fuse?ruse..\r\nboth are deceptions.Sounds odd though."", 'Jese Ladkiyan RUSE laga kar ladko ko trick kar ke thagti hain', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    RUSE(sullen in marathi)....most of the women pretend to be sullen to gain value and hence it's a kind of deceiving..."", 'sar pe laal TOPI RUSE(russian)... from the topi a magician does a TRICK', ""Ruse - Russia (in Hindi) .. It's antics were conceptualized to outsmart/trick USA .."", 'ruse gaya fuse(Hindi)']","['34', '6', '2', '2', '1', '1', '0', '0']",ruse
3775,"['(noun) an unsophisticated country person', '                (adj) characteristic of rural life', '(adj) awkwardly simple and provincial', '(adj) characteristic of the fields or country']","['2', '0', '0', '1']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Think of RUST, which reminds us of something which is old or has worn out, hence country people are old fashioned, rural or slightly backwards', 'rustic=ruralistic', 'Picture an old RUSTING tractor.', '# ग�\x81वार\r\n# गंवार\r\n# देहाती']","['10', '7', '2', '1']",rustic
3776,"['(verb) live in the country and lead a rustic life', '                (verb) send to the country', '(verb) suspend temporarily from college or university, in England', '(verb) give (stone) a rustic look', '                (verb) lend a rustic character to']",['0'],['rusticate - made/banished to become rustic'],['2'],rusticate
3777,"['(noun) a light noise, like the noise of silk clothing or leaves blowing in the wind', '(verb) make a dry crackling sound', '(verb) take illegally', '(verb) forage food']","['3', '0']","['Sounds close to whistle.', 'Sounds like WRESTLE .. when fighters wrestle in WWF matches their costumes made of silk rub against each other ...']","['3', '1']",rustle
3778,['(adj) without mercy or pity'],['0'],['RuthLESS is a synonym of relentLESS'],['0'],ruthless
3779,"['(noun) someone who commits sabotage or deliberately causes wrecks', '(noun) a member of a clandestine subversive organization who tries to help a potential invader']","['22', '0', '6', '7', '3', '0', '3', '7']","['sab(in hindi we all)+teur..sounds like tear...during the gujrat riots when people were destroying property..people who were eying on tv sets .un.SAB ki aakho me tears aa gaye.', 'This can be taken as sab-tod(in hindi)means one who destroys things,property etc..', 'SABOTEUR a DESTROYER - One who commits sabotage, causes wilful damage to machinery or materials or disruption of work.', 'it sounds like sabertooth(an ancient tiger specie)which destoys everything...or even u can link saber tooth from Xmen', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    SABOTEUR = destroyer', 'SABkO TEaRs dene wal destructor.', 'saboteur == sab + utar, one who destroys everything definitely he is going to sab utar dey...', 'sound like ""CACTUAR SABOTENDER"", a monster from Final Fantasy.']","['17', '13', '5', '3', '2', '2', '1', '0']",saboteur
3780,['(adj) overly sweet'],"['2', '3']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    sounds like shakkar which in hindi means sugar.Sugar is obviously very sweet.', 'saccharine is the chemical used to add sweet taste in all toffees. It is cheap but harmful to humans.']","['45', '4']",saccharine
3781,['(adj) grossly irreverent toward what is held to be sacred'],"['0', '3', '1', '3', '5']","['sacrilegious can be split as SAC(k) + RELIGIOUS(religious) beliefs. So one who sacks religious beliefs will commit PROFANE acts... ie speak against..', 'Concentrate on first half part of the word- Sacri,,treat it as sacrifice..Nw sacrilegious means one who shows lack of respect to GOD,,so he wud neva sacrifice for GOD.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    sacred image ke aage LEG rakhna is sacrilegious', 'one who does not sacrifies for religious things is sacrilegious.', 'SACRILEGIOUS and IMPIOUS are rhyming words which refer to someone who is blasphemous, who shows disrespect to something that is sacred.']","['89', '5', '4', '3', '1']",sacrilegious
3782,['(adj) must be kept sacred'],"['11', '9', '0', '0', '0']","[""In Hindi 'sacro' or more likely 'sainkdo' means 'hundreds' and 'sant' means 'a hermit (a sacred person)'.In the Hindu Mythology we have descriptions of hundreds of the MOST SACRED hermits."", 'try to look at the lastsacro+SANCT(SANCTITY).....AND think of saints who are living life of sanctity.', 'SACRO(pure) n SANCT(Pure) are the root words of pure which results da etymology of many imp words... sacrosanct is pure+pure => very pure , inviolable', 'sacrosanct -the first part of the word sacro indicate the sacred and sanct indicate saint whose life is sacred', 'sacro(sacred)+sanct(saint) like...']","['45', '7', '2', '2', '1']",sacrosanct
3783,['(adj) deriving pleasure or sexual gratification from inflicting pain on another'],"['0', '3', '0', '0', '1']","['Sad&#8230; Sadistic persons enjoy by making someone sad or influencing a lot of pain on them.', 'the word was coined after a person named Francis de SADE who used to derive pleasure by inflicting pain on others.....so people like SADE were called sadists....and hence sadist means, someone who inclined to cruelty.', '(sadiSTIC) if u a sadistic you have got a stic in your hand to show cruelty', 'policeman crosses the limit of CRUELITY when he beats the theif to death with a SADI(normal)STICK(danda)', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    SADISTIC and DIABOLIC are words which refer to evil. Sadistic refers to a person who enjoys inflicting pain on others while Diabolic is of the Devil himself.']","['16', '7', '4', '1', '0']",sadistic
3784,['(noun) a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account'],"['7', '1', '1', '1', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    sa re ga ma....so saga...\r\n\r\nsongs are always long legend myth types..', 'we can remember it by famous twilight saga...', 'SAGAS are EPICS (long narratives) relating the stories of heroic legends.', 'saga~ sega game now not played by anyone it is legend in game history', 'the saga of life', 'In the movie Anbe Sivam, Kamal - the legend, will be called as saga.']","['17', '7', '5', '3', '1', '0']",saga
